furniture,type,rate,delivery,sale,price
11,264,0.0,52.44,0.68,3000.0
63,264,0.0,172.14,0.0,3500.0
56,264,3.5,52.44,0.38,888.0
73,264,0.0,172.14,0.48,4200.0
3,134,0.0,52.44,0.68,1400.0
74,25,4.5,172.14,0.16,8000.0
75,409,4.3,172.14,0.1,3000.0
76,261,0.0,52.44,0.22,890.0
77,264,5.0,172.14,0.0,3500.0
78,468,0.0,52.44,0.0,1150.0
79,283,3.0,52.44,0.53,1999.0
80,466,4.0,52.44,0.0,1100.0
81,264,0.0,52.44,0.43,350.0
82,451,4.9,52.44,0.11,1350.0
38,264,3.5,172.14,0.17,3500.0
83,264,0.0,52.44,0.1,990.0
84,264,0.0,52.44,0.33,888.0
64,118,3.5,52.44,0.0,670.0
85,245,5.0,52.44,0.6,3800.0
86,446,4.5,52.44,0.0,1850.0
76,567,0.0,52.44,0.09,1420.0
87,13,0.0,172.14,0.33,2999.0
0,264,0.0,172.14,0.66,2500.0
88,159,0.0,172.14,0.52,1950.0
89,151,0.0,172.14,0.0,6522.0
41,264,5.0,172.14,0.3,4000.0
72,264,0.0,172.14,0.36,3899.0
9,277,4.6,172.14,0.28,900.0
90,264,3.0,52.44,0.52,2000.0
11,264,0.0,52.44,0.6,3000.0
72,264,0.0,172.14,0.19,2700.0
91,394,0.0,52.44,0.12,740.0
92,203,4.1,52.44,0.2,399.0
93,274,3.2,52.44,0.21,1450.0
94,264,3.0,172.14,0.18,5500.0
95,264,0.0,52.44,0.47,450.0
96,264,5.0,172.14,0.1,5900.0
97,409,3.0,172.14,0.13,4000.0
98,264,3.9,52.44,0.25,1900.0
99,264,1.0,52.44,0.25,1600.0
100,480,0.0,172.14,0.07,8500.0
101,447,4.4,52.44,0.0,550.0
69,178,0.0,52.44,0.36,950.0
102,264,0.0,52.44,0.2,650.0
69,178,0.0,52.44,0.36,950.0
67,264,0.0,172.14,0.52,2500.0
103,264,3.4,172.14,0.2,2700.0
3,134,0.0,52.44,0.68,1400.0
104,264,0.0,172.14,0.0,425.0
105,264,0.0,172.14,0.68,2950.0
51,264,3.5,172.14,0.57,1500.0
106,264,0.0,52.44,0.42,950.0
107,178,4.5,52.44,0.32,1990.0
108,25,4.7,52.44,0.27,2200.0
109,490,0.0,52.44,0.2,5750.0
110,34,4.5,52.44,0.0,850.0
111,118,0.0,52.44,0.0,820.0
112,264,4.4,52.44,0.1,1000.0
67,264,0.0,172.14,0.44,2500.0
113,16,0.0,172.14,0.28,4999.0
15,137,0.0,52.44,0.64,550.0
114,178,4.0,52.44,0.32,1990.0
115,264,0.0,52.44,0.1,445.0
53,264,5.0,52.44,0.23,180.0
10,264,4.3,172.14,0.28,900.0
116,458,0.0,1236.07,0.5,6398.0
117,543,4.7,10.83,0.18,220.0
118,264,3.7,52.44,0.09,450.0
76,261,5.0,52.44,0.12,1700.0
119,409,4.1,172.14,0.18,4000.0
60,264,1.0,172.14,0.17,3500.0
120,28,0.0,172.14,0.0,4500.0
121,12,5.0,172.14,0.17,5999.0
122,264,0.0,172.14,0.05,5500.0
123,264,0.0,172.14,0.13,4500.0
124,34,0.0,52.44,0.0,1200.0
94,264,4.5,172.14,0.2,5500.0
125,264,0.0,172.14,0.18,4599.0
126,264,0.0,52.44,0.41,850.0
127,318,0.0,99.06,0.68,392.0
84,264,0.0,52.44,0.4,999.0
128,187,0.0,52.44,0.44,1050.0
2,264,3.8,172.14,0.38,800.0
77,264,0.0,172.14,0.14,3500.0
129,409,5.0,172.14,0.07,7500.0
40,266,4.0,52.44,0.17,1500.0
65,264,0.0,52.44,0.0,700.0
72,264,0.0,172.14,0.04,2700.0
130,144,0.0,172.14,0.19,1050.0
5,264,3.8,52.44,0.15,1650.0
53,264,0.0,52.44,0.2,250.0
64,118,0.0,52.44,0.11,670.0
38,264,0.0,172.14,0.17,3500.0
76,261,0.0,52.44,0.15,2290.0
131,446,3.6,52.44,0.24,7200.0
64,118,0.0,52.44,0.11,670.0
63,264,0.0,172.14,0.17,3500.0
132,264,3.8,52.44,0.37,750.0
133,264,0.0,172.14,0.33,389.0
134,281,0.0,52.44,0.53,2000.0
135,296,4.6,52.44,0.52,199.0
136,207,4.2,172.14,0.0,3500.0
11,264,0.0,172.14,0.7,3000.0
137,264,4.9,52.44,0.15,350.0
125,264,4.0,172.14,0.27,3500.0
